Bill Number,Short Title,Ministry,Member,Date of Introduction,Debate/Date Passed in LS,Debate/Date Passed in RS,Status,Act No,Assent Date,Gazeette Notification,Referred to Committee Date
124,"THE CONSTITUTION (ONE HUNDRED AND TWENTY-EIGHTH AMENDMENT) BILL, 2023",LAW AND JUSTICE,,19 Sep 2023,20 Sep 2023,21 Sep 2023,Assented,,28/09/2023 ,,
119,"THE CENTRAL GOODS AND SERVICES TAX (AMENDMENT) BILL, 2023",FINANCE,,11 Aug 2023,11 Aug 2023,11 Aug 2023,Assented,30  of 2023,18/08/2023 ,,
120,"THE INTEGRATED GOODS AND SERVICES TAX (AMENDMENT) BILL, 2023",FINANCE,,11 Aug 2023,11 Aug 2023,11 Aug 2023,Assented,31  of 2023,18/08/2023 ,,
115,"THE ANUSANDHAN NATIONAL RESEARCH FOUNDATION BILL, 2023",SCIENCE AND TECHNOLOGY AND EARTH SCIENCES,,4 Aug 2023,7 Aug 2023,9 Aug 2023,Assented,25  of 2023,12/08/2023 ,,
113,"THE DIGITAL PERSONAL DATA PROTECTION BILL, 2023",ELECTRONICS AND INFORMATION TECHNOLOGY,,3 Aug 2023,7 Aug 2023,9 Aug 2023,Assented,22  of 2023,11/08/2023 ,,
114,"The Pharmacy (Amendment) Bill, 2023",HEALTH AND FAMILY WELFARE,,3 Aug 2023,7 Aug 2023,10 Aug 2023,Assented,29  of 2023,15/08/2023 ,,
112,"THE GOVERNMENT OF NATIONAL CAPITAL TERRITORY OF DELHI (AMENDMENT) BILL, 2023",HOME AFFAIRS,,1 Aug 2023,3 Aug 2023,7 Aug 2023,Assented,19  of 2023,11/08/2023 ,,
109,"THE INDIAN INSTITUTES OF MANAGEMENT (AMENDMENT) BILL, 2023",EDUCATION,,28 Jul 2023,4 Aug 2023,8 Aug 2023,Assented,23  of 2023,11/08/2023 ,,
102,"THE OFFSHORE AREAS MINERAL (DEVELOPMENT AND REGULATION) AMENDMENT BILL, 2023",MINES,,27 Jul 2023,1 Aug 2023,3 Aug 2023,Assented,17  of 2023,10/08/2023 ,,
101,"THE MINES AND MINERALS (DEVELOPMENT AND REGULATION) AMENDMENT BILL, 2023",COAL AND MINES,,26 Jul 2023,28 Jul 2023,2 Aug 2023,Assented,16  of 2023,09/08/2023 ,,
93,"THE REGISTRATION OF BIRTHS AND DEATHS (AMENDMENT) BILL, 2023",HOME AFFAIRS,,26 Jul 2023,1 Aug 2023,7 Aug 2023,Assented,20  of 2023,11/08/2023 ,,
82,"THE NATIONAL DENTAL COMMISSION BILL, 2023",HEALTH AND FAMILY WELFARE,,24 Jul 2023,28 Jul 2023,8 Aug 2023,Assented,21  of 2023,11/08/2023 ,,
83,"THE NATIONAL NURSING AND MIDWIFERY COMMISSION BILL, 2023",HEALTH AND FAMILY WELFARE,,24 Jul 2023,28 Jul 2023,8 Aug 2023,Assented,26  of 2023,12/08/2023 ,,
91,"THE CONSTITUTION (SCHEDULED CASTES) ORDER (AMENDMENT) BILL, 2023",SOCIAL JUSTICE AND EMPOWERMENT,,24 Jul 2023,1 Aug 2023,9 Aug 2023,Assented,24  of 2023,12/08/2023 ,,
XLVI,"The Cinematograph (Amendment) Bill, 2023",INFORMATION AND BROADCASTING,,20 Jul 2023,,27 Jul 2023,Assented,12  of 2023,04/08/2023 ,,
81,"THE COASTAL AQUACULTURE AUTHORITY (AMENDMENT) BILL, 2023","fisheries, animal husbandry and dairying",,5 Apr 2023,7 Aug 2023,9 Aug 2023,Assented,27  of 2023,12/08/2023 ,,
80,"THE FOREST (CONSERVATION) AMENDMENT BILL, 2023",ENVIRONMENT AND FORESTS,,29 Mar 2023,26 Jul 2023,2 Aug 2023,Assented,15  of 2023,04/08/2023 ,,
64,"The Appropriation Bill, 2023",FINANCE,,23 Mar 2023,23 Mar 2023,,Assented,4  of 2023,29/03/2023 ,,
65,"THE APPROPRIATION (NO. 2) BILL, 2023",FINANCE,,21 Mar 2023,21 Mar 2023,,Assented,5  of 2023,29/03/2023 ,,
66,"THE JAMMU AND KASHMIR APPROPRIATION BILL, 2023",FINANCE,,21 Mar 2023,21 Mar 2023,,Assented,7  of 2023,29/03/2023 ,,
67,"THE JAMMU AND KASHMIR APPROPRIATION (No. 2) BILL, 2023",FINANCE,,21 Mar 2023,21 Mar 2023,,Assented,6  of 2023,29/03/2023 ,,
62,"The Inter-Services Organisations (Command, Control and Discipline) Bill, 2023",DEFENCE,,15 Mar 2023,4 Aug 2023,8 Aug 2023,Assented,28  of 2023,15/08/2023 ,,
17,"The Finance Bill, 2023",FINANCE,,1 Feb 2023,24 Mar 2023,27 Mar 2023,Assented,,31/03/2023 ,,
299,"THE JAN VISHWAS (AMENDMENT OF PROVISIONS) BILL, 2022",COMMERCE AND INDUSTRY,,22 Dec 2022,27 Jul 2023,2 Aug 2023,Assented,18  of 2023,11/08/2023 ,,
245,"THE APPROPRIATION (No. 4) BILL, 2022",FINANCE,,14 Dec 2022,14 Dec 2022,21 Dec 2022,Assented,21  of 2022,24/12/2022 ,,
246,"THE APPROPRIATION (No. 5) BILL, 2022",FINANCE,,14 Dec 2022,14 Dec 2022,21 Dec 2022,Assented,22  of 2022,24/12/2022 ,,
217,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (SECOND AMENDMENT) BILL, 2022",TRIBAL AFFAIRS,,9 Dec 2022,15 Dec 2022,22 Dec 2022,Assented,1  of 2023,02/01/2023 ,,
218,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (THIRD AMENDMENT) BILL, 2022",TRIBAL AFFAIRS,,9 Dec 2022,16 Dec 2022,26 Jul 2023,Assented,14  of 2023,04/08/2023 ,,
219,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (FOURTH AMENDMENT) BILL, 2022",TRIBAL AFFAIRS,,9 Dec 2022,19 Dec 2022,22 Dec 2022,Assented,2  of 2023,02/01/2023 ,,
220,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (FIFTH AMENDMENT) BILL, 2022",TRIBAL AFFAIRS,,9 Dec 2022,21 Dec 2022,25 Jul 2023,Assented,13  of 2023,04/08/2023 ,,
215,"THE MULTI-STATE CO-OPERATIVE SOCIETIES (AMENDMENT) BILL, 2022",Co-operation,,7 Dec 2022,25 Jul 2023,1 Aug 2023,Assented,11  of 2023,03/08/2023 ,,
185,"THE COMPETITION (AMENDMENT) BILL, 2022",CORPORATE AFFAIRS,,5 Aug 2022,29 Mar 2023,3 Apr 2023,Assented,9  of 2023,11/04/2023 ,,
186,"THE NEW DELHI INTERNATIONAL ARBITRATION CENTRE (AMENDMENT) BILL, 2022",LAW AND JUSTICE,,5 Aug 2022,8 Aug 2022,14 Dec 2022,Assented,23  of 2022,30/12/2022 ,,
177,"THE ENERGY CONSERVATION (AMENDMENT) BILL, 2022",POWER,,3 Aug 2022,8 Aug 2022,12 Dec 2022,Assented,19  of 2022,19/12/2022 ,,
176,"THE CENTRAL UNIVERSITIES (AMENDMENT) BILL, 2022",EDUCATION,,1 Aug 2022,3 Aug 2022,8 Aug 2022,Assented,17  of 2022,16/08/2022 ,,
123,"The Family Courts (Amendment) Bill, 2022",LAW AND JUSTICE,,18 Jul 2022,26 Jul 2022,4 Aug 2022,Assented,16  of 2022,12/08/2022 ,,
96,"The Weapons of Mass Destruction and their Delivery Systems (Prohibition of Unlawful Activities) Amendment Bill,  2022 ",EXTERNAL AFFAIRS,,5 Apr 2022,6 Apr 2022,1 Aug 2022,Assented,14  of 2022,06/08/2022 ,,
95,"The Indian Antarctic Bill, 2022",EARTH SCIENCES,,1 Apr 2022,22 Jul 2022,1 Aug 2022,Assented,13  of 2022,06/08/2022 ,,
91,"THE CONSTITUTION (SCHEDULED CASTES AND SCHEDULED TRIBES) ORDERS (SECOND AMENDMENT) BILL, 2022",TRIBAL AFFAIRS,,28 Mar 2022,1 Apr 2022,14 Dec 2022,Assented,20  of 2022,24/12/2022 ,,
93,"The Criminal Procedure (Identification) Bill, 2022",HOME AFFAIRS,,28 Mar 2022,4 Apr 2022,6 Apr 2022,Assented,11  of 2022,18/04/2022 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2022-93-gaz.pdf?source=loksabhadocs,
92,"The Delhi Municipal Corporation (Amendment) Bill, 2022",HOME AFFAIRS,,25 Mar 2022,30 Mar 2022,5 Apr 2022,Assented,10  of 2022,18/04/2022 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2022-92-gaz.pdf?source=loksabhadocs,
81,"The Appropriation Bill, 2022",FINANCE,,24 Mar 2022,24 Mar 2022,29 Mar 2022,Assented,7  of 2022,30/03/2022 ,,
79,"The Jammu and Kashmir Appropriation Bill, 2022",FINANCE,,14 Mar 2022,14 Mar 2022,23 Mar 2022,Assented,4  of 2022,25/03/2022 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2022-79-gaz.pdf?source=loksabhadocs,
80,"The Jammu and Kashmir Appropriation (No.2) Bill, 2022",FINANCE,,14 Mar 2022,14 Mar 2022,23 Mar 2022,Assented,5  of 2022,25/03/2022 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2022-80-gaz.pdf?source=loksabhadocs,
82,"The Appropriation (No.2) Bill, 2022",FINANCE,,14 Mar 2022,14 Mar 2022,21 Mar 2022,Assented,2  of 2022,23/03/2022 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2022-82-gaz.pdf?source=loksabhadocs,
83,"The Appropriation (No.3) Bill, 2022",FINANCE,,14 Mar 2022,14 Mar 2022,21 Mar 2022,Assented,3  of 2022,23/03/2022 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2022-83-gaz.pdf?source=loksabhadocs,
21,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (AMENDMENT) BILL, 2022",TRIBAL AFFAIRS,,7 Feb 2022,28 Mar 2022,6 Apr 2022,Assented,9  of 2022,18/04/2022 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2022-21-gaz.pdf?source=loksabhadocs,
18,"The Finance Bill, 2022",FINANCE,,1 Feb 2022,25 Mar 2022,29 Mar 2022,Assented,6  of 2022,30/03/2022 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2022-18-gaz.pdf?source=loksabhadocs,
152,"The Appropriation (No. 5) Bill, 2021",FINANCE,,20 Dec 2021,20 Dec 2021,,Assented,1  of 2022,12/01/2022 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-152-gaz.pdf?source=loksabhadocs,
162,"The Election Laws (Amendment) Bill, 2021",LAW AND JUSTICE,,20 Dec 2021,20 Dec 2021,21 Dec 2021,Assented,49  of 2021,29/12/2021 ,,
XLIII,"THE MEDIATION BILL, 2021",LAW AND JUSTICE,,20 Dec 2021,,1 Aug 2023,Assented,32  of 2023,14/09/2023 ,,22 Dec 2021
159,"THE WILD LIFE (PROTECTION) AMENDMENT BILL, 2022",ENVIRONMENT AND FORESTS,,17 Dec 2021,2 Aug 2022,8 Dec 2022,Assented,18  of 2022,19/12/2022 ,,
160,"THE NATIONAL ANTI-DOPING BILL, 2022",YOUTH AFFAIRS AND SPORTS,,17 Dec 2021,27 Jul 2022,3 Aug 2022,Assented,15  of 2022,12/08/2022 ,,
161,"THE CHARTERED ACCOUNTANTS, THE COST AND WORKS ACCOUNTANTS AND THE COMPANY SECRETARIES (AMENDMENT) BILL, 2021",CORPORATE AFFAIRS,,17 Dec 2021,30 Mar 2022,5 Apr 2022,Assented,12  of 2022,18/04/2022 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-161-gaz.pdf?source=loksabhadocs,
158,"THE BIOLOGICAL DIVERSITY (AMENDMENT) BILL, 2021",ENVIRONMENT AND FORESTS,,16 Dec 2021,25 Jul 2023,1 Aug 2023,Assented,10  of 2023,03/08/2023 ,,
148,"THE CENTRAL VIGILANCE COMMISSION (AMENDMENT) BILL, 2021","PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",,3 Dec 2021,9 Dec 2021,14 Dec 2021,Assented,46  of 2021,18/12/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-148-gaz.pdf?source=loksabhadocs,
144," THE HIGH COURT AND SUPREME COURT JUDGES (SALARIES AND CONDITIONS OF SERVICE) AMENDMENT BILL, 2021",LAW AND JUSTICE,,30 Nov 2021,8 Dec 2021,13 Dec 2021,Assented,44  of 2021,18/12/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-144-gaz.pdf?source=loksabhadocs,
143,"THE FARM LAWS REPEAL BILL, 2021",AGRICULTURE & FARMERS WELFARE,,29 Nov 2021,29 Nov 2021,29 Nov 2021,Assented,40  of 2021,30/11/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-143-gaz.pdf?source=loksabhadocs,
124,"The Constitution (One Hundred and Fifth Amendment) Bill, 2021",SOCIAL JUSTICE AND EMPOWERMENT,,9 Aug 2021,10 Aug 2021,11 Aug 2021,Assented,,18/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-124-gaz.pdf?source=loksabhadocs,
125,"The National Commission for Indian System of Medicine (Amendment) Bill, 2021","AYUSH (Ayurveda,  Yoga and Naturopathy,  Unani, Siddha and Homoeopathy",,9 Aug 2021,10 Aug 2021,11 Aug 2021,Assented,38  of 2021,18/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-125-gaz.pdf?source=loksabhadocs,
126,"The National Commission for Homoeopathy (Amendment) Bill, 2021 ","AYUSH (Ayurveda,  Yoga and Naturopathy,  Unani, Siddha and Homoeopathy",,9 Aug 2021,10 Aug 2021,11 Aug 2021,Assented,39  of 2021,18/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-126-gaz.pdf?source=loksabhadocs,
119,"THE CENTRAL UNIVERSITIES (AMENDMENT) BILL, 2021",HUMAN RESOURCE  DEVELOPMENT,,5 Aug 2021,6 Aug 2021,9 Aug 2021,Assented,27  of 2021,12/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-119-gaz.pdf?source=loksabhadocs,
120,"THE TAXATION LAWS (AMENDMENT) BILL, 2021",FINANCE,,5 Aug 2021,6 Aug 2021,9 Aug 2021,Assented,34  of 2021,13/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-120-gaz.pdf?source=loksabhadocs,
116,"The Tribunals Reforms Bill, 2021 ",FINANCE,,2 Aug 2021,3 Aug 2021,9 Aug 2021,Assented,33  of 2021,13/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-116-gaz.pdf?source=loksabhadocs,
110,"THE COMMISSION FOR AIR QUALITY MANAGEMENT IN NATIONAL CAPITAL REGION AND ADJOINING AREAS BILL, 2021",ENVIRONMENT AND FORESTS,,30 Jul 2021,4 Aug 2021,5 Aug 2021,Assented,29  of 2021,12/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-110-gaz.pdf?source=loksabhadocs,
115,"THE GENERAL INSURANCE BUSINESS (NATIONALISATION) AMENDMENT BILL, 2021",FINANCE,,30 Jul 2021,2 Aug 2021,11 Aug 2021,Assented,37  of 2021,18/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-115-gaz.pdf?source=loksabhadocs,
XXVI,"THE COCONUT DEVELOPMENT BOARD (AMENDMENT) BILL, 2021",AGRICULTURE & FARMERS WELFARE,,29 Jul 2021,,30 Jul 2021,Assented,,,,
102,"The Appropriation (No. 3) Bill, 2021",FINANCE,,28 Jul 2021,28 Jul 2021,,Assented,35  of 2021,17/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-102-gaz.pdf?source=loksabhadocs,
103,"The Appropriation (No. 4) Bill, 2021",FINANCE,,28 Jul 2021,28 Jul 2021,,Assented,36  of 2021,17/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-103-gaz.pdf?source=loksabhadocs,
104,"The Insolvency and Bankruptcy Code (Amendment) Bill, 2021",CORPORATE AFFAIRS,,26 Jul 2021,28 Jul 2021,3 Aug 2021,Assented,26  of 2021,11/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-104-gaz.pdf?source=loksabhadocs,
101,"The Essential Defence Services Bill, 2021",DEFENCE,,22 Jul 2021,3 Aug 2021,5 Aug 2021,Assented,25  of 2021,11/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-101-gaz.pdf?source=loksabhadocs,
99,"THE INLAND VESSELS BILL, 2021",SHIPPING,,22 Jul 2021,29 Jul 2021,2 Aug 2021,Assented,24  of 2021,11/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-99-gaz.pdf?source=loksabhadocs,
77,"THE AIRPORTS ECONOMIC REGULATORY AUTHORITY OF INDIA (AMENDMENT) BILL, 2021",CIVIL AVIATION,,24 Mar 2021,29 Jul 2021,4 Aug 2021,Assented,28  of 2021,12/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-77-gaz.pdf?source=loksabhadocs,
76,"THE NATIONAL BANK FOR FINANCING INFRASTRUCTURE AND DEVELOPMENT BILL, 2021",FINANCE,,22 Mar 2021,23 Mar 2021,25 Mar 2021,Assented,17  of 2021,28/03/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-76-gaz.pdf?source=loksabhadocs,
17,"The Appropriation Bill, 2021",FINANCE,,18 Mar 2021,18 Mar 2021,23 Mar 2021,Assented,5  of 2021,25/03/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-17-gaz.pdf?source=loksabhadocs,
69,"THE JAMMU AND KASHMIR APPROPRIATION (No. 2) BILL, 2021",FINANCE,,18 Mar 2021,18 Mar 2021,23 Mar 2021,Assented,9  of 2021,25/03/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-69-gaz.pdf?source=loksabhadocs,
70,"THE PUDUCHERRY APPROPRIATION (VOTE ON ACCOUNT) BILL, 2021",FINANCE,,18 Mar 2021,18 Mar 2021,23 Mar 2021,Assented,10  of 2021,25/03/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-70-gaz.pdf?source=loksabhadocs,
71,"THE PUDUCHERRY APPROPRIATION BILL, 2021",FINANCE,,18 Mar 2021,18 Mar 2021,23 Mar 2021,Assented,11  of 2021,25/03/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-71-gaz.pdf?source=loksabhadocs,
72,"THE JAMMU AND KASHMIR APPROPRIATION BILL, 2021",FINANCE,,18 Mar 2021,18 Mar 2021,23 Mar 2021,Assented,12  of 2021,25/03/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-72-gaz.pdf?source=loksabhadocs,
53,"The Appropriation (No.2) Bill, 2021",FINANCE,,17 Mar 2021,17 Mar 2021,23 Mar 2021,Assented,7  of 2021,25/03/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-53-gaz.pdf?source=loksabhadocs,
54,"THE NATIONAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH (AMENDMENT) BILL, 2021",CHEMICALS AND FERTILIZERS,,15 Mar 2021,6 Dec 2021,9 Dec 2021,Assented,43  of 2021,18/12/2021 ,,
55,"THE GOVERNMENT OF NATIONAL CAPITAL TERRITORY OF DELHI (AMENDMENT) BILL, 2021",HOME AFFAIRS,,15 Mar 2021,22 Mar 2021,24 Mar 2021,Assented,15  of 2021,28/03/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-55-gaz.pdf?source=loksabhadocs,
56,"THE JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) AMENDMENT BILL, 2021",WOMEN AND CHILD DEVELOPMENT,,15 Mar 2021,24 Mar 2021,28 Jul 2021,Assented,23  of 2021,07/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-56-gaz.pdf?source=loksabhadocs,
60,"THE MARINE AIDS TO NAVIGATION BILL, 2021",SHIPPING,,15 Mar 2021,22 Mar 2021,27 Jul 2021,Assented,20  of 2021,31/07/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-60-gaz.pdf?source=loksabhadocs,
65,"THE MINES AND MINERALS (DEVELOPMENT AND REGULATION) AMENDMENT BILL, 2021",COAL AND MINES,,15 Mar 2021,19 Mar 2021,22 Mar 2021,Assented,16  of 2021,28/03/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-65-gaz.pdf?source=loksabhadocs,
XX,"THE INSURANCE (AMENDMENT) BILL, 2021",CORPORATE AFFAIRS,,15 Mar 2021,22 Mar 2021,18 Mar 2021,Assented,6  of 2021,25/03/2021 ,,
18,"THE CONSTITUTION (SCHEDULED CASTES) ORDER (AMENDMENT) BILL, 2021",SOCIAL JUSTICE AND EMPOWERMENT,,13 Feb 2021,19 Mar 2021,22 Mar 2021,Assented,18  of 2021,13/04/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-18-gaz.pdf?source=loksabhadocs,
VI,"THE NATIONAL CAPITAL TERRITORY OF DELHI LAWS (SPECIAL PROVISIONS) SECOND (AMENDMENT) BILL, 2021",Housing and Urban Affairs,,8 Feb 2021,10 Mar 2021,9 Feb 2021,Assented,4  of 2021,12/03/2021 ,,
16,"THE ARBITRATION AND CONCILIATION (AMENDMENT) BILL, 2021",LAW AND JUSTICE,,4 Feb 2021,12 Feb 2021,10 Mar 2021,Assented,3  of 2021,11/03/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-16-gaz.pdf?source=loksabhadocs,
IV,"THE JAMMU AND KASHMIR REORGANISATION (AMENDMENT) BILL, 2021",HOME AFFAIRS,,4 Feb 2021,13 Feb 2021,8 Feb 2021,Assented,2  of 2021,25/02/2021 ,,
15,"The Finance Bill, 2021",FINANCE,,1 Feb 2021,23 Mar 2021,24 Mar 2021,Assented,13  of 2021,28/03/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2021-15-gaz.pdf?source=loksabhadocs,
124,"THE JAMMU AND KASHMIR OFFICIAL LANGUAGES BILL, 2020",HOME AFFAIRS,,22 Sep 2020,22 Sep 2020,23 Sep 2020,Assented,23  of 2020,26/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-124-gaz.pdf?source=loksabhadocs,
123,"THE FOREIGN CONTRIBUTION (REGULATION) AMENDMENT BILL, 2020",HOME AFFAIRS,,20 Sep 2020,21 Sep 2020,23 Sep 2020,Assented,33  of 2020,28/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-123-gaz.pdf?source=loksabhadocs,
120,"THE INDUSTRIAL RELATIONS CODE, 2020",LABOUR,,19 Sep 2020,22 Sep 2020,23 Sep 2020,Assented,35  of 2020,28/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-120-gaz.pdf?source=loksabhadocs,
121,"THE CODE ON SOCIAL SECURITY, 2020",LABOUR,,19 Sep 2020,22 Sep 2020,23 Sep 2020,Assented,36  of 2020,28/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-121-gaz.pdf?source=loksabhadocs,
122,"THE OCCUPATIONAL SAFETY, HEALTH AND WORKING CONDITIONS CODE, 2020",LABOUR,,19 Sep 2020,22 Sep 2020,23 Sep 2020,Assented,37  of 2020,28/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-122-gaz.pdf?source=loksabhadocs,
116,"THE TAXATION AND OTHER LAWS (RELAXATION AND AMENDMENT OF CERTAIN PROVISIONS) BILL, 2020",FINANCE,,18 Sep 2020,19 Sep 2020,22 Sep 2020,Assented,38  of 2020,29/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-116-gaz.pdf?source=loksabhadocs,
117,"THE APPROPRIATION (NO. 4) BILL, 2020",FINANCE,,18 Sep 2020,18 Sep 2020,23 Sep 2020,Assented,26  of 2020,25/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-117-gaz.pdf?source=loksabhadocs,
118,"THE APPROPRIATION (No. 3) BILL, 2020",FINANCE,,18 Sep 2020,18 Sep 2020,23 Sep 2020,Assented,27  of 2020,25/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-118-gaz.pdf?source=loksabhadocs,
XXXI,"The Insolvency and Bankruptcy Code (Second Amendment) Bill, 2020",CORPORATE AFFAIRS,,15 Sep 2020,21 Sep 2020,19 Sep 2020,Assented,17  of 2020,23/09/2020 ,,
110,"THE SALARY, ALLOWANCES AND PENSION OF MEMBERS OF PARLIAMENT (AMENDMENT) BILL, 2020",PARLIAMENTARY  AFFAIRS,,14 Sep 2020,15 Sep 2020,18 Sep 2020,Assented,19  of 2020,24/09/2020 ,,
111,"THE ESSENTIAL COMMODITIES (AMENDMENT) BILL, 2020","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",,14 Sep 2020,15 Sep 2020,22 Sep 2020,Assented,22  of 2020,26/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-111-gaz.pdf?source=loksabhadocs,
112,"THE FARMERS (EMPOWERMENT AND PROTECTION) AGREEMENT ON PRICE ASSURANCE AND FARM SERVICES BILL, 2020",AGRICULTURE & FARMERS WELFARE,,14 Sep 2020,17 Sep 2020,20 Sep 2020,Assented,20  of 2020,24/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-112-gaz.pdf?source=loksabhadocs,
113,"THE FARMERS’ PRODUCE TRADE AND COMMERCE (PROMOTION AND FACILITATION) BILL, 2020",AGRICULTURE & FARMERS WELFARE,,14 Sep 2020,17 Sep 2020,20 Sep 2020,Assented,21  of 2020,24/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-113-gaz.pdf?source=loksabhadocs,
114,"THE BANKING REGULATION (AMENDMENT) BILL, 2020",FINANCE,,14 Sep 2020,16 Sep 2020,22 Sep 2020,Assented,39  of 2020,29/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-114-gaz.pdf?source=loksabhadocs,
115,"THE FACTORING REGULATION (AMENDMENT) BILL, 2021",FINANCE,,14 Sep 2020,26 Jul 2021,29 Jul 2021,Assented,21  of 2021,07/08/2021 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-115-gaz.pdf?source=loksabhadocs,
97,"THE ASSISTED REPRODUCTIVE TECHNOLOGY (REGULATION) BILL, 2020",HEALTH AND FAMILY WELFARE,,14 Sep 2020,1 Dec 2021,8 Dec 2021,Assented,42  of 2021,18/12/2021 ,,
98,"THE BILATERAL NETTING OF QUALIFIED FINANCIAL CONTRACTS BILL, 2020",FINANCE,,14 Sep 2020,20 Sep 2020,23 Sep 2020,Assented,30  of 2020,28/09/2020 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2020-98-gaz.pdf?source=loksabhadocs,
XXIX,"The Homoeopathy Central Council (Amendment) Bill, 2020","AYUSH (Ayurveda,  Yoga and Naturopathy,  Unani, Siddha and Homoeopathy",,14 Sep 2020,22 Sep 2020,18 Sep 2020,Assented,24  of 2020,25/09/2020 ,,
XXVII,"The Epidemic Diseases (Amendment) Bill, 2020",HEALTH AND FAMILY WELFARE,,14 Sep 2020,21 Sep 2020,19 Sep 2020,Assented,34  of 2020,28/09/2020 ,,
XXVIII,"The Salaries and Allowances of Ministers (Amendment) Bill, 2020",HOME AFFAIRS,,14 Sep 2020,20 Sep 2020,18 Sep 2020,Assented,18  of 2020,23/09/2020 ,,
XXX,"The Indian Medicine Central Council (Amendment) Bill, 2020","AYUSH (Ayurveda,  Yoga and Naturopathy,  Unani, Siddha and Homoeopathy",,14 Sep 2020,22 Sep 2020,18 Sep 2020,Assented,25  of 2020,25/09/2020 ,,
